University,Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
Universitas Sumatera Utara,1003,63201,Ilmu Administrasi Publik,Aktif,S1,A,2019,16,599,01:37.4,sosial,
Universitas Sumatera Utara,1003,41203,Ilmu dan Teknologi Pangan,Aktif,S1,A,2019,13,352,01:27.1,pertanian,
Universitas Sumatera Utara,1003,74201,Ilmu Hukum,Aktif,S1,A,2019,73,2272,01:31.1,humaniora,
Universitas Sumatera Utara,1003,14201,Ilmu Keperawatan,Aktif,S1,A,2019,35,614,01:17.5,kesehatan,
Universitas Sumatera Utara,1003,72201,Ilmu Kesejahteraan Sosial,Aktif,S1,A,2019,14,378,01:27.0,sosial,
Universitas Sumatera Utara,1003,55201,Ilmu Komputer,Aktif,S1,A,2019,22,564,01:25.6,teknik,
Universitas Sumatera Utara,1003,70201,Ilmu Komunikasi,Aktif,S1,A,2019,15,493,01:32.9,sosial,
Universitas Sumatera Utara,1003,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,12,310,01:25.8,humaniora,
Universitas Sumatera Utara,1003,67201,Ilmu Politik,Aktif,S1,A,2019,14,367,01:26.2,humaniora,
Universitas Sumatera Utara,1003,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,45,1385,01:30.8,kesehatan,
Universitas Sumatera Utara,1003,47201,Kimia,Aktif,S1,A,2019,21,558,01:26.6,mipa,
Universitas Sumatera Utara,1003,61201,Manajemen,Aktif,S1,A,2019,19,794,01:41.8,ekonomi,
Universitas Sumatera Utara,1003,11201,Pendidikan Dokter,Aktif,S1,A,2019,261,759,01:02.9,kesehatan,
Universitas Sumatera Utara,1003,12201,Pendidikan Dokter Gigi,Aktif,S1,A,2019,54,977,01:18.1,kesehatan,
Universitas Sumatera Utara,1003,71201,Perpustakaan dan Sains Informasi,Aktif,S1,A,2019,0,0,-,sosial,
Universitas Sumatera Utara,1003,54231,Peternakan,Aktif,S1,A,2019,17,412,01:24.2,pertanian,
Universitas Sumatera Utara,1003,79203,Sastra Arab,Aktif,S1,A,2019,15,308,01:20.5,humaniora,
Universitas Sumatera Utara,1003,79202,Sastra Inggris,Aktif,S1,A,2019,14,443,01:31.6,humaniora,
Universitas Sumatera Utara,1003,69201,Sosiologi,Aktif,S1,A,2019,12,382,01:31.8,sosial,
Universitas Sumatera Utara,1003,20201,Teknik Elektro,Aktif,S1,A,2019,18,632,01:35.1,teknik,
Universitas Sumatera Utara,1003,26201,Teknik Industri,Aktif,S1,A,2019,14,573,01:40.9,teknik,
Universitas Sumatera Utara,1003,24201,Teknik Kimia,Aktif,S1,A,2019,17,642,01:37.8,teknik,
Universitas Sumatera Utara,1003,21201,Teknik Mesin,Aktif,S1,A,2019,14,607,01:43.4,teknik,
Universitas Sumatera Utara,1003,59201,Teknologi Informasi,Aktif,S1,A,2019,23,670,01:29.1,teknik,
Universitas Sumatera Utara,1003,54201,Agribisnis,Aktif,S1,B,2019,21,673,01:32.0,pertanian,
Universitas Sumatera Utara,1003,54211,Agroteknologi,Aktif,S1,B,2019,47,1115,01:23.7,pertanian,
Universitas Sumatera Utara,1003,45201,Fisika,Aktif,S1,B,2019,23,391,01:17.0,mipa,
Universitas Sumatera Utara,1003,80201,Ilmu Sejarah,Aktif,S1,B,2019,11,208,01:18.9,humaniora,
Universitas Sumatera Utara,1003,54251,Kehutanan,Aktif,S1,B,2019,34,718,01:21.1,mipa,
Universitas Sumatera Utara,1003,41201,Keteknikan Pertanian,Aktif,S1,B,2019,13,305,01:23.5,pertanian,
